id,biller_code,biller_name,biller_category,amount,currency,scheduled_for,executed_at,status,customer_id,account_at_biller_last4,funding_source
9001,DU-020,du,TELECOM,460.67,AED,2026-04-23,2026-03-29T21:00:11Z,paid,CUST-00098,1694,linked_account_AED
9002,TS-011,Tadweer,GOVERNMENT,657.29,AED,2026-04-23,2026-04-18T05:33:13Z,paid,CUST-00003,N/A,linked_account_AED
9003,ETI-019,Etisalat,TELECOM,1984.46,AED,2026-04-12,,scheduled,CUST-00084,N/A,linked_account_USD
9004,ADWEA-002,ADWEA,UTILITIES,1090.97,AED,2026-04-14,2026-04-11T18:38:50Z,paid,CUST-00091,7387,wallet
9005,DU-020,du,TELECOM,100.19,AED,2026-04-22,2026-03-28T13:11:46Z,paid,CUST-00098,0515,linked_account_AED
9006,SZHP-007,Sharjah Police Fines,GOVERNMENT,2445.36,AED,2026-04-08,2026-04-26T18:09:28Z,paid,CUST-00006,N/A,wallet
9007,ETI-019,Etisalat,TELECOM,3050.25,AED,2026-04-10,2026-04-02T03:46:28Z,paid,CUST-00095,2496,linked_account_AED
9008,ADWEA-002,ADWEA,UTILITIES,4497.93,AED,2026-04-27,2026-04-16T07:57:36Z,paid,CUST-00003,N/A,linked_account_AED
9009,RTA-009,RTA Salik,GOVERNMENT,1036.23,AED,2026-04-25,2026-03-31T05:27:34Z,paid,CUST-00091,N/A,linked_account_USD
9010,RTA-009,RTA Salik,GOVERNMENT,2208.51,AED,2026-03-28,2026-04-17T15:04:32Z,paid,CUST-00009,2833,linked_account_USD
9011,DU-020,du,TELECOM,4811.26,AED,2026-04-24,2026-03-29T11:25:16Z,paid,CUST-00010,2714,linked_account_USD
9012,RTA-009,RTA Salik,GOVERNMENT,2195.68,AED,2026-04-13,2026-04-13T19:28:37Z,paid,CUST-00097,5222,linked_account_USD
9013,DLD-008,Dubai Land Department,GOVERNMENT,2175.10,AED,2026-04-09,2026-04-23T21:07:28Z,paid,CUST-00085,2740,linked_account_USD
9014,DU-020,du,TELECOM,2955.00,AED,2026-04-18,2026-04-01T05:55:30Z,paid,CUST-00082,6525,wallet
9015,SEWA-003,SEWA,UTILITIES,4054.75,AED,2026-04-14,,scheduled,CUST-00082,4019,wallet
9016,DH-012,Daman Health,INSURANCE,1889.72,AED,2026-04-23,,scheduled,CUST-00004,N/A,linked_account_USD
9017,DEWA-001,DEWA,UTILITIES,3598.17,AED,2026-04-21,2026-04-11T09:21:15Z,paid,CUST-00099,3811,linked_account_AED
9018,DU-020,du,TELECOM,3028.92,AED,2026-04-11,2026-03-30T18:26:09Z,paid,CUST-00009,9959,linked_account_USD
9019,DH-012,Daman Health,INSURANCE,2137.66,AED,2026-04-03,2026-04-11T11:01:54Z,paid,CUST-00007,3229,linked_account_AED
9020,RTA-009,RTA Salik,GOVERNMENT,281.62,AED,2026-04-19,2026-04-20T23:25:18Z,paid,CUST-00085,N/A,linked_account_USD
9021,DLD-008,Dubai Land Department,GOVERNMENT,1220.29,AED,2026-04-27,2026-03-30T01:11:33Z,paid,CUST-00001,N/A,wallet
9022,DLD-008,Dubai Land Department,GOVERNMENT,233.19,AED,2026-04-10,,failed,CUST-00002,5527,wallet
9023,RTA-009,RTA Salik,GOVERNMENT,520.84,AED,2026-04-02,2026-04-12T09:18:42Z,paid,CUST-00009,N/A,linked_account_AED
9024,ADWEA-002,ADWEA,UTILITIES,2804.43,AED,2026-04-17,2026-04-24T17:09:23Z,paid,CUST-00083,N/A,linked_account_AED
9025,DH-012,Daman Health,INSURANCE,4837.41,AED,2026-04-24,,scheduled,CUST-00090,1683,wallet
9026,DEWA-001,DEWA,UTILITIES,4136.01,AED,2026-04-23,2026-04-11T07:50:32Z,paid,CUST-00098,7138,wallet
9027,ADWEA-002,ADWEA,UTILITIES,996.24,AED,2026-03-30,,scheduled,CUST-00097,8807,linked_account_USD
9028,DEWA-001,DEWA,UTILITIES,1335.45,AED,2026-04-02,2026-04-24T16:04:20Z,paid,CUST-00010,N/A,linked_account_AED
9029,TS-011,Tadweer,GOVERNMENT,3968.56,AED,2026-04-15,2026-04-18T17:32:29Z,paid,CUST-00100,N/A,wallet
9030,SEWA-003,SEWA,UTILITIES,1630.70,AED,2026-04-23,,scheduled,CUST-00099,N/A,linked_account_USD
