txn_id,card_last4,merchant_name,mcc,auth_amount_usd,auth_ts,captured_ts,status,decline_code,customer_ref,currency_code
TXN-177611ce5dd2,3582,Sharaf DG,5732,1933.81,2026-04-23T03:02:09Z,2026-04-23T03:02:39Z,APPROVED,,CUST-00015,USD
TXN-53475d65a441,6873,ENOC,5541,527.72,2026-04-14T00:56:54Z,2026-04-14T00:57:33Z,APPROVED,,CUST-00045,USD
TXN-53a93eabedcb,7359,Apple Store Dubai Mall,5732,678.52,2026-03-30T23:06:24Z,,APPROVED,,CUST-00015,AED
TXN-53a93eabedcb,7359,Apple Store Dubai Mall,5732,678.52,2026-03-30T23:06:24Z,2026-03-30T23:07:14Z,APPROVED,,CUST-00015,AED
TXN-106fd261a7ab,3257,du,4814,1005.91,2026-04-23T18:53:05Z,2026-04-23T18:53:51Z,APPROVED,,CUST-00014,USD
TXN-ff9ba7cad415,9891,Lulu Hypermarket,5411,1149.84,2026-04-14T03:23:33Z,2026-04-14T03:23:50Z,APPROVED,,CUST-00009,AED
TXN-cc7e956269f0,3582,ENOC,5541,2493.33,2026-04-20T06:49:55Z,2026-04-20T06:50:51Z,APPROVED,,CUST-00033,AED
TXN-51e9a0a04dc4,0711,du,4814,1058.29,2026-04-23T21:59:06Z,2026-04-23T21:59:40Z,REVERSED,,CUST-00025,AED
TXN-05e0f143262f,2045,Sharaf DG,5732,290.81,2026-03-31T22:23:04Z,2026-03-31T22:23:12Z,APPROVED,,CUST-00049,AED
TXN-e84e287d06ca,2045,Carrefour,5411,2190.25,2026-04-14T05:07:47Z,2026-04-14T05:07:54Z,APPROVED,,CUST-00033,AED
TXN-65d79be578c7,3611,Noon,5942,1907.46,2026-03-31T19:34:41Z,,DECLINED,14,CUST-00050,USD
TXN-fa2a52fbe43b,8935,Carrefour,5411,2323.1,2026-04-12T01:43:13Z,,DECLINED,51,CUST-00016,AED
TXN-4063c40db9b4,4333,Noon,5942,1190.83,2026-03-31T07:25:57Z,,DECLINED,05,CUST-00011,AED
TXN-6c70f6e07cc0,5514,ADNOC,5541,1889.39,2026-04-17T05:38:32Z,2026-04-17T05:39:14Z,REVERSED,,CUST-00046,AED
TXN-e04e5f987c71,3527,ADNOC,5541,1131.46,2026-04-14T23:10:09Z,2026-04-14T23:10:45Z,APPROVED,,CUST-00015,AED
TXN-03ae38602ab6,8785,Talabat,5812,1579.6,2026-04-15T21:15:49Z,,DECLINED,51,CUST-00005,USD
TXN-79db839fbc50,4333,Emirates,4111,1216.11,2026-03-31T19:44:49Z,,DECLINED,14,CUST-00009,AED
TXN-7c6a7900f7f9,5574,du,4814,2019.71,2026-04-17T18:09:23Z,2026-04-17T18:09:51Z,APPROVED,,CUST-00007,AED
TXN-3263a56c0941,9654,Carrefour,5411,1821.89,2026-04-21T16:41:33Z,2026-04-21T16:41:42Z,APPROVED,,CUST-00016,AED
TXN-ecdd474ebc19,3657,Amazon AE,5942,1110.61,2026-03-31T06:49:29Z,2026-03-31T06:50:23Z,REVERSED,,CUST-00007,AED
TXN-55263c835dc0,4552,Lulu Hypermarket,5411,1205.99,2026-04-07T12:45:16Z,2026-04-07T12:45:41Z,APPROVED,,CUST-00004,AED
TXN-920c747b6dba,7527,Lulu Hypermarket,5411,2393.51,2026-03-31T00:28:59Z,2026-03-31T00:29:18Z,APPROVED,,CUST-00043,AED
TXN-1d44504867ba,6224,Carrefour,5411,1194.59,2026-04-01T05:11:36Z,2026-04-01T05:12:31Z,APPROVED,,CUST-00011,AED
TXN-22cb98543881,3811,Sharaf DG,5732,1012.42,2026-03-30T08:16:49Z,2026-03-30T08:16:55Z,APPROVED,,CUST-00016,AED
TXN-a1fb85d51695,8279,ADNOC,5541,514.63,2026-04-11T17:56:58Z,2026-04-11T17:57:40Z,APPROVED,,CUST-00016,AED
TXN-04c412922f83,5881,Apple Store Dubai Mall,5732,2496.14,2026-04-22T03:30:49Z,2026-04-22T03:30:58Z,APPROVED,,CUST-00005,AED
TXN-2338e1805081,3811,ADNOC,5541,926.97,2026-04-19T08:12:42Z,2026-04-19T08:13:22Z,APPROVED,,CUST-00029,AED
TXN-04018768a84f,1674,Sharaf DG,5732,751.95,2026-04-21T23:18:47Z,,DECLINED,14,CUST-00009,AED
TXN-4f968da01097,0434,Emirates,4111,1514.05,2026-04-10T08:30:56Z,,DECLINED,14,CUST-00014,AED
